text,label,intent_name
Is my card ready for use or does it need activated and if so how?,0,activate_my_card
My contactless is non-functional.,23,contactless_not_working
"My card couldn't complete a transfer, why?",35,failed_transfer
How long does it take for money to transfer as my balance hasn't been updated,5,balance_not_updated_after_bank_transfer
I'd like to open an account for my kids can I do that?,1,age_limit
I don't know how to verify my identity.,69,verify_my_identity
"Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this.",64,transfer_fee_charged
Can I top up online?,58,top_up_by_cash_or_cheque
"I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed.",28,direct_debit_payment_not_recognised
I need my refund as soon as possible. What else do I have to do?,51,Refund_not_showing_up
Please help my find out why there is an odd direct debit in my records.,28,direct_debit_payment_not_recognised
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,8,cancel_transfer
How can I fix my contactless?,23,contactless_not_working
I need to know the process to transfer money into my account.,65,transfer_into_account
What are the steps I need to do if I have a stolen card?,41,lost_or_stolen_card
I just had a look at my statement. Why have I been changed for using the ATM?,19,cash_withdrawal_charge
There is unexpected money in my account.,20,cash_withdrawal_not_recognised
Can I change my PIN remotely?,21,change_pin
I forgot the code I need to get into the app.,44,passcode_forgotten
How can I move money from my account at a different bank to the account I have at this bank.,65,transfer_into_account
What are the steps for changing my passcode?,44,passcode_forgotten
"I need assistance finding out why I am unable to top-up my card, it keeps getting refused.  It is extremely imperative I get this resolved quickly.",59,top_up_failed
need my details changed,30,edit_personal_details
How do I know where I can use my card?,10,card_acceptance
My Identity verification hasn't passed yet is it possible to use my account?,74,why_verify_identity
I don't know what a pending payment is.,45,pending_card_payment
"I made a card payment, but it has been declined?",25,declined_card_payment
Can I top-up any amount I wish on any given day?,60,top_up_limits
How come my transfer got declined,27,declined_transfer
Can you please assist me in completing a transfer? I'm trying and I keep getting an error. I'm trying to purchase a flat and pay the initial mortgage payment. All I keep getting is an error. Can you find out what's happening here?,35,failed_transfer
I would like to know what exchange rates you use?,32,exchange_rate
what is the exchange rate for foreign ATMs,76,wrong_exchange_rate_for_cash_withdrawal
Why would my card payment not work?,25,declined_card_payment
What different currencies can I get?,33,exchange_via_app
Can I get a new pin number at any ATM using my card?,21,change_pin
What do you demand for identity verification?,69,verify_my_identity
Can I have more than one card?,39,getting_spare_card
what are the reasons why you would not be able to process a payment,7,beneficiary_not_allowed
My transfer to an account failed.,7,beneficiary_not_allowed
I want to have an item refunded can I do that?,52,request_refund
How can I top up my account and which currency can I use?,54,supported_cards_and_currencies
I didn't withdraw cash but I see that transaction on my app,20,cash_withdrawal_not_recognised
I am still waiting for a money transfer to process.,48,pending_transfer
Why can't I transfer to an account?,7,beneficiary_not_allowed
My top-up hasn't happened yet.,47,pending_top_up
Where can I use my card to pay?,10,card_acceptance
How do I top-up my card with a cheque?,58,top_up_by_cash_or_cheque
My cards were stolen,42,lost_or_stolen_phone
I received the wrong amount of cash from the ATM. Can you help?,75,wrong_amount_of_cash_received
What factors determine your exchange rate?,32,exchange_rate
Can I hold more than one currency?,36,fiat_currency_support
Why would a merchant revert a card payment?,53,reverted_card_payment?
Are there fees for using an international card to top up?,57,top_up_by_card_charge
I can't get my virtual card to work at all,72,virtual_card_not_working
Is there an age limit to when my child can use these services?,1,age_limit
Are you sure this is the interbank exchange rate? This rate is really bad.,17,card_payment_wrong_exchange_rate
How can I get my card to work?,14,card_not_working
How long is US delivery?,12,card_delivery_estimate
What currencies and methods can i use to top up my account?,54,supported_cards_and_currencies
Is there a way to modify my details?,30,edit_personal_details
I lost my passcode.,44,passcode_forgotten
Please help me.  My card is missing.,41,lost_or_stolen_card
"Changed details is essential, what steps do I take to do so?",30,edit_personal_details
I would like to know why a withdraw I made for some cash shows up as pending.,46,pending_cash_withdrawal
Could you tell me why my top up isn't showing in my wallet?,62,topping_up_by_card
"My transfer failed, why did that happen?",35,failed_transfer
Is there a reason why my virtual card won't work?,72,virtual_card_not_working
There has been a payment  in the App that has not be done by me.,16,card_payment_not_recognised
Will it be possible to change from USD to GBP with this App?,33,exchange_via_app
"I think that someone may be using my card, but I'm not sure,.",22,compromised_card
Will you tell me how to exchange USD for GBP in the app?,33,exchange_via_app
The purchase I made is still pending.,45,pending_card_payment
Can I tell what business will take this card?,10,card_acceptance
I'm not sure if my pop-up went through.,59,top_up_failed
What is the fee for a foreign currency exchange?,31,exchange_charge
Why do you need so much information about my identity?,74,why_verify_identity
"Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me!",53,reverted_card_payment?
Where can I check to see if there will be a fee added to my payment? Are there specific instances that will result in a fee added?,15,card_payment_fee_charged
Can I do a SWIFT transfer?,56,top_up_by_bank_transfer_charge
How do you determine exchange rates?,32,exchange_rate
Please tell me why the same transaction is showing up on my account more than once.,63,transaction_charged_twice
I got less money than I asked for.,75,wrong_amount_of_cash_received
Help my activate my card.,0,activate_my_card
My identity wasn't verified,68,unable_to_verify_identity
Why do you require identification documents,74,why_verify_identity
"I must quickly transfer something from China, and I need to know how long it will take.",67,transfer_timing
with what can I verify my identity?,69,verify_my_identity
where is my unknown payment from?,16,card_payment_not_recognised
My transaction has not been received. When are you going to process it?,66,transfer_not_received_by_recipient
Can I add money to my card automatically during a trip?,4,automatic_top_up
Can I add money in intervals to my account?  I will be traveling.,4,automatic_top_up
Will I be charged a fee to top up using a debit or credit card?,57,top_up_by_card_charge
What are the auto-top up policies?,4,automatic_top_up
"My card has an expiration date, will you send a new one automatically?",9,card_about_to_expire
I got a fee when paying with my card,15,card_payment_fee_charged
Why did my credit card get declined for top up?,59,top_up_failed
How do I withdraw money?,3,atm_support
Why won't you accept my payment? I keep trying with this card and it's not working.,25,declined_card_payment
Will I be charged for adding money using an international card?,57,top_up_by_card_charge
what do I need to do if the ATM kept my card?,18,card_swallowed
Where is the nearest Mastercard ATM?,3,atm_support
how do i get a new card,43,order_physical_card
Please help me regarding a direct debit in the app that I don't recognize.,28,direct_debit_payment_not_recognised
I have lost my phone or it has been stolen.,42,lost_or_stolen_phone
Is there a limit to how much I can top up?,60,top_up_limits
Can I open an account for my children?,1,age_limit
I am not able to see the card PIN anywhere?,38,get_physical_card
"My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help.",42,lost_or_stolen_phone
Where is the tracking number for the card?,11,card_arrival
The ATM keeps declining my card! I tried two different ATMs already can you please check if everything is alright with my account??,26,declined_cash_withdrawal
Can my children open an account?,1,age_limit
My top-up was rejected,59,top_up_failed
I can't get the card itself to work.,14,card_not_working
I payed with the card and there was an extra fee?,15,card_payment_fee_charged
It does not appear that my message went through.,59,top_up_failed
Why do I need top-up to be verified?,71,verify_top_up
"My card arrived but I need to make it work in the app, how do I do that?",13,card_linking
How much does it cost to top up a US-issued card?,57,top_up_by_card_charge
"There's a problem - I bought something about a week or two ago but just today the payment somehow came back into my account! I already received the item though, what's going on here?",53,reverted_card_payment?
When shipped to the US how long is delivery time?,12,card_delivery_estimate
An ATM machine didn't give me back my card.,18,card_swallowed
"This past holiday I made a withdraw at the ATM machine, and it seems I've been charged too much.",76,wrong_exchange_rate_for_cash_withdrawal
Can you tell me what the problem with my card is? It was declined at a restaurant today.,14,card_not_working
What do I do if someone used my card without my permission?,22,compromised_card
wheres my money receipt,66,transfer_not_received_by_recipient
Is there an auto top up option?,4,automatic_top_up
How do I perform identity checks?,69,verify_my_identity
My PIN was blocked.,49,pin_blocked
What currencies does google pay top up accept?,2,apple_pay_or_google_pay
Help me activate my new card.,0,activate_my_card
How can I receive a virtual card?,40,getting_virtual_card
Is there a way to see where my money originally came from?,70,verify_source_of_funds
I dont have identification,68,unable_to_verify_identity
I need to modify my details.,30,edit_personal_details
"I deposited a cheque, but my account balance stayed the same.",6,balance_not_updated_after_cheque_or_cash_deposit
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",46,pending_cash_withdrawal
I transferred some money but it hasn't arrived yet,5,balance_not_updated_after_bank_transfer
Where can I verify my identity?,69,verify_my_identity
Could you tell me about the restrictions that are on the disposable cards?,29,disposable_card_limits
I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,5,balance_not_updated_after_bank_transfer
Can you lookup my password?,44,passcode_forgotten
"For the identity check, do I need any kind of documentation?",69,verify_my_identity
"Hello, I noticed there is a payment from my card to a business that I am not familiar with. I definitely did not make this payment.",16,card_payment_not_recognised
What should I do with my stuck ATM?,18,card_swallowed
I need you to delete my account right now.,55,terminate_account
I am out of money in my account and I was wondering if I could do a bank transfer is put more in it?,65,transfer_into_account
Help! I need to transfer something to China.,67,transfer_timing
I was unable to transfer money to a beneficiary.,7,beneficiary_not_allowed
How does identity check work?,74,why_verify_identity
"If I am in China, can I still order a new card and if so, how?",9,card_about_to_expire
How can I fix this?  There is a double charge on my account.,63,transaction_charged_twice
What reasons would a topup fail?,59,top_up_failed
I want to terminate my account,55,terminate_account
"I have my card, when whill my PIN be available?",38,get_physical_card
What are the top up charges for all US cards?,57,top_up_by_card_charge
Can you tell me how many currencies I can hold?,36,fiat_currency_support
"Is there something wrong with my card payment? It's been pending a really, really long time.",45,pending_card_payment
Do you give refunds?,52,request_refund
Where can I locate my card PIN?,38,get_physical_card
Why wouldn't my contactless work for the metro?,23,contactless_not_working
Did I do something incorrectly? Where is my top-up?,47,pending_top_up
I can't get my card out of the ATM,18,card_swallowed
Where is the cash deposit I made?,6,balance_not_updated_after_cheque_or_cash_deposit
"It's been more than a week since I had a return charged to my card, why hasn't it showed up?",51,Refund_not_showing_up
I couldn't transfer money to a beneficiery,7,beneficiary_not_allowed
What should I do if I think someone stole my details and used my information to make some transactions?,22,compromised_card
How much for an actual card?,43,order_physical_card
Why would I get a decline message in a transfer?,27,declined_transfer
I was unable to transfer money from my account.,35,failed_transfer
How can I get my Google pay top up to work?,2,apple_pay_or_google_pay
"I did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. When does this actually go through?",45,pending_card_payment
Can I use my new card?,0,activate_my_card
How can I check to see where my funds come from?,70,verify_source_of_funds
My card is stolen.  Help!,41,lost_or_stolen_card
What are Interbanks current exchange rates?,32,exchange_rate
How do I know it is a Mastercard ATM?,3,atm_support
I can't find how to top up my account with a check.  Where is that?,58,top_up_by_cash_or_cheque
What credit cards do you carry,73,visa_or_mastercard
"Hi, during online shopping payment is getting declined yesterday and today as well. Please check the issue.",27,declined_transfer
Why would my card payment be reverted?,53,reverted_card_payment?
Can I verify my top-up card?,71,verify_top_up
I don't have my cell phone with me so I cannot access the system to complete the transaction.,42,lost_or_stolen_phone
How come I can't seem to verify my id?,68,unable_to_verify_identity
Is there a limit to auto top?,4,automatic_top_up
Can I reset my PIN if it is blocked?,49,pin_blocked
Can you please tell me why my card payments are not going through when I try to buy something online? When I put in my card payment it takes it but it comes back a while later.,53,reverted_card_payment?
Where is a ATM that accepts Mastercard?,3,atm_support
I've been waiting for a refund where is it?,51,Refund_not_showing_up
What types of cards and money do you accept?,54,supported_cards_and_currencies
Why has another fee been placed on my statement?,34,extra_charge_on_statement
Why isn't the recipient seeing the transaction? I just sent the money.,66,transfer_not_received_by_recipient
Are there specific ATM's I can use with this card?,3,atm_support
I believe my card has been compromised because of a strange withdrawal,20,cash_withdrawal_not_recognised
When will I receive the cash payment from the check I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit
"I have a US credit card, will you accept it?",54,supported_cards_and_currencies
What is the expected delivery date for my card?,11,card_arrival
There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,34,extra_charge_on_statement
Which countries can I change my PIN in?,21,change_pin
Can you tell me where to find top up by cash deposit?,58,top_up_by_cash_or_cheque
How can I add money to my account from another account I have?,65,transfer_into_account
How can my account have money transferred into it?,65,transfer_into_account
"I topped up and went to buy something, but it says that my funds are pending. Is there a way to quicken this process?",47,pending_top_up
How do I transfer money between two of my accounts?,65,transfer_into_account
Please explain how I use the disposable cards?,37,get_disposable_virtual_card
"My salary is in GBP, do I need to exchange it before putting it into my account?",50,receiving_money
Why do I have two charges It should only be one charge?,63,transaction_charged_twice
What are the steps for depositing cash into my account?,58,top_up_by_cash_or_cheque
How long am I to wait before the transfer gets to my account?,67,transfer_timing
"I'm not sure what to do about the PIN, because I don't have one yet.",38,get_physical_card
What is the normal time to make an international transfer? I made one a few days ago that still hasn't arrived.,5,balance_not_updated_after_bank_transfer
"My cash withdrawal is showing as pending, why?",46,pending_cash_withdrawal
Can I change my PIN without being physically present?,21,change_pin
I don't see my card anywhere in the app.,13,card_linking
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,17,card_payment_wrong_exchange_rate
Is my card actually working? It's the first time I tried using it,26,declined_cash_withdrawal
Why won't my top up go through?,61,top_up_reverted
My transfer didn't work! Help!,35,failed_transfer
Are visa and mastercard accepted,73,visa_or_mastercard
why was my payment reverted on the app,53,reverted_card_payment?
I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly.,53,reverted_card_payment?
WHAT IS THE ATMOSPHERE OF IT,10,card_acceptance
I don't know the code for the app.,44,passcode_forgotten
Where do I go for a refund?,52,request_refund
I was given the wrong exchange rate when getting cash,76,wrong_exchange_rate_for_cash_withdrawal
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,64,transfer_fee_charged
How come I have pending transfers?,48,pending_transfer
What is the strange cash withdrawal on my statement?,20,cash_withdrawal_not_recognised
When does my transfer from the US arrive in my account?,67,transfer_timing
For what reason must I authenticate the top up?,71,verify_top_up
"I've obtained the card, how do I enable it on the app?",13,card_linking
How do I open an account for my children?,1,age_limit
What limits are the to top-ups?,60,top_up_limits
Where do I scan my card?,13,card_linking
Is there a way to verify a card top-up?,71,verify_top_up
I don't see the transaction I made to a friend on my account.,66,transfer_not_received_by_recipient
I need to exchange some foreign currency. What's the charge for doing that?,31,exchange_charge
There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,14,card_not_working
when will I get my refund?,51,Refund_not_showing_up
I seem to of forgotten my passcode.,44,passcode_forgotten
"I tried using a check to update my balance, but it isn't work? Is something wrong?",6,balance_not_updated_after_cheque_or_cash_deposit
Does the top-up need verified?,71,verify_top_up
I was expecting my new card by now.,11,card_arrival
Why is the cash not showing in my account for the check I deposited?,6,balance_not_updated_after_cheque_or_cash_deposit
Why isn't my refund showing up?,51,Refund_not_showing_up
Why are my transfers being declined? It normally works but now it's declining my card. I've tried it a few times but it's still not working.,27,declined_transfer
"your company is awful, i would like to delete my account please",55,terminate_account
"Hi, I have been transferring money to my friends since morning, but all my transactions were getting failed. Can you please look into this issue.",35,failed_transfer
The refund doesn't show in my account,51,Refund_not_showing_up
Why do you need verification for my identity?,74,why_verify_identity
Please send my card as quickly as possible.,12,card_delivery_estimate
Which currencies can I use to add money?,54,supported_cards_and_currencies
Can I get a card? I live in the US.,24,country_support
Unable to use my American Express with Apple Pay to top up my account,2,apple_pay_or_google_pay
"What currencies can I not hold many in, if so what are they?",36,fiat_currency_support
I bought something and already paid for it but now I don't see it.,53,reverted_card_payment?
I would like to cancel a purchase.,52,request_refund
can I use it all over the world?,24,country_support
I made a transfer and the person I transferred the money to didn't receive the right amount? Why did this happen and how do I get the rest of the money to them?,64,transfer_fee_charged
How do I get this damn virtual card to work?,72,virtual_card_not_working
Why has my payment been reversed?,53,reverted_card_payment?
where to i get my funds from?,70,verify_source_of_funds
"My friend wants to send me money, can she?",50,receiving_money
Can I have a supplementary card?,39,getting_spare_card
I did a topup successfully but its not showing in balance. I think there is some problem in system.,61,top_up_reverted
Am I allowed to transfer money to a beneficiary?,7,beneficiary_not_allowed
I haven't gotten my new card.,11,card_arrival
How long before a bank transfer shows up in the account?,5,balance_not_updated_after_bank_transfer
"I blocked my card by mistake, how do I unblock it?",49,pin_blocked
How can I convert currencies?,33,exchange_via_app
Do I need to go to a physical bank to change my PIN?,21,change_pin
"My card is expiring, how do I get a new one?",9,card_about_to_expire
Do i need to verify my top up?,71,verify_top_up
Is it possible for me to give my daughter a second card for this account?,39,getting_spare_card
How do I verify my identity?,69,verify_my_identity
I goofed up and used the wrong account.  Please help.,8,cancel_transfer
Why is my deposit still pending?,6,balance_not_updated_after_cheque_or_cash_deposit
How do I exchange AUD for GBP?,33,exchange_via_app
Something's wrong my card won't work.,14,card_not_working
I thought you guys offered free transfers. Why was I charged?,64,transfer_fee_charged
How does someone else top up my account,62,topping_up_by_card
"I moved, can I edit my personal details?",30,edit_personal_details
I made a cash withdrawal and was charged a fee incorrectly can you help with this?,19,cash_withdrawal_charge
May I order another card?,39,getting_spare_card
My card has been lost / stolen,41,lost_or_stolen_card
Does your app allow currency exchanges between USD and GBP?,33,exchange_via_app
I don't know what this Direct Debit payment on my account is for.,28,direct_debit_payment_not_recognised
why are all my identity details required,74,why_verify_identity
Where can I find my fund information?,70,verify_source_of_funds
How much does top up fees cost?,57,top_up_by_card_charge
How do I delete an account?,55,terminate_account
"i put in money for vacation and its not showing. i need that money today, how long will it take",48,pending_transfer
I bought some things in the morning but the payment shows as pending,45,pending_card_payment
My card is about to expired what will happen?,9,card_about_to_expire
How long does it take to verify a cash withdraw?,46,pending_cash_withdrawal
I went to do a transfer and it was declined.,27,declined_transfer
The transfer I tried to make failed.,35,failed_transfer
"Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying.",7,beneficiary_not_allowed
How do I change my currency to another?,33,exchange_via_app
Why is the exchange rate wrong for my cash withdrawal?,76,wrong_exchange_rate_for_cash_withdrawal
I'm concerned because my cash withdrawal is pending.,46,pending_cash_withdrawal
the exchange rate at which my card payment is at is wrong,17,card_payment_wrong_exchange_rate
When will I have access to my pin number?,38,get_physical_card
Is it possible to get a real card?,43,order_physical_card
"My PIN is locked, how do I unlock it?",49,pin_blocked
"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",20,cash_withdrawal_not_recognised
Why was I charged a random fee for a transfer I made?,64,transfer_fee_charged
What ATMs take this card?,3,atm_support
"In the app, I see a withdrawal I didn't make.",20,cash_withdrawal_not_recognised
I would like to change my address.,30,edit_personal_details
why do I have to show my ID,69,verify_my_identity
My card hasn't been working for even small transactions today.,14,card_not_working
My card needs to be topped up.,62,topping_up_by_card
What is the wait time for delivery to the US?,12,card_delivery_estimate
"How do I know if I will get my card, or if it is lost?",11,card_arrival
My top up isnt working,59,top_up_failed
I don't see a money transfer yet,48,pending_transfer
How long will an urgent transfer from China take?,67,transfer_timing
What currencies are approved to add money?,54,supported_cards_and_currencies
How come my card doesn't work anymore?,14,card_not_working
My card appears to have never arrived?,11,card_arrival
Why does my statement show a $1 charge on my account?,34,extra_charge_on_statement
Why hasn't my money transfer shown up yet?,5,balance_not_updated_after_bank_transfer
Why did my top-up get reverted?,61,top_up_reverted
Am I able to Top Up with Apply Pay?,2,apple_pay_or_google_pay
what is the price of a transfer?,56,top_up_by_bank_transfer_charge
Does it cost anything to transfer money for a top-up?,56,top_up_by_bank_transfer_charge
How do I go through the identity checks?,69,verify_my_identity
Where can I find your exchange rates?,32,exchange_rate
Please explain to me the process of getting a virtual card.,40,getting_virtual_card
My top-up didn't go through,59,top_up_failed
Can you give me the restrictions of the disposable cards?,29,disposable_card_limits
after i got married i need to change my name,30,edit_personal_details
My card stopped working after multiple transactions. Why?,14,card_not_working
Is there any way I can get more physical cards to use with my account?,39,getting_spare_card
How do I get my card out of the ATM?,18,card_swallowed
Please help me with my card payments which keeps getting reverted whenever i do online shopping. I am having this problem since last two weeks.,53,reverted_card_payment?
"I was trying to use contactless earlier, but it didn't work.",23,contactless_not_working
i need to expedite my card,12,card_delivery_estimate
Can I use my virtual card to complete transactions for memberships?,72,virtual_card_not_working
Are there any charges for using a bank card to top up,57,top_up_by_card_charge
"Hello, what is a virtual card and how do I get one?",40,getting_virtual_card
Why has my top up been cancelled,61,top_up_reverted
What should I do if I have used all of my PIN tries?,49,pin_blocked
Help! I've forgot my app passcode!,44,passcode_forgotten
How do I go about getting hold of a virtual card?,40,getting_virtual_card
I was charged multiple times at the same location at the same time,63,transaction_charged_twice
How can I tell if my card payment is reverted?,53,reverted_card_payment?
How do I complete the ID check?,69,verify_my_identity
How long will this transfer from europe take?,67,transfer_timing
Is there a list of ATMs that take this card?,3,atm_support
Which fiat currencies are supported?,36,fiat_currency_support
Is ordering a new card from China available?,9,card_about_to_expire
Do you know which businesses will accept my card?,10,card_acceptance
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",14,card_not_working
There is an urgent thing that I need to transfer from China. Approximately how long will it take?,67,transfer_timing
Will I be charged for topping up?,57,top_up_by_card_charge
Why hasn't my transaction arrived?,66,transfer_not_received_by_recipient
"I should only have one charge, but it shows two.",63,transaction_charged_twice
can i get a card if I live in the usa?,24,country_support
Are there steps I need to take before my card expires?,9,card_about_to_expire
For some reason my card payment hasn't worked. what can I do to look into that?,25,declined_card_payment
Where is my PIN located?,38,get_physical_card
Am I charged a fee to transfer funds?,64,transfer_fee_charged
Where can money withdrawals be made?,3,atm_support
I want to know the source of my funds.,70,verify_source_of_funds
"My transfer is quite urgent, and finally worked out, but I've been waiting for it for quite some time. Can you tell me how long to expect to wait for it?",48,pending_transfer
Will you charge me if I top up by card?,57,top_up_by_card_charge
Can I change my PIN without going to a bank branch?,21,change_pin
What is the estimated wait time on a US transfer into my account?,67,transfer_timing
I no longer have my phone.,42,lost_or_stolen_phone
I need to know where do my funds come from,70,verify_source_of_funds
How does my top-up got cancelled?,61,top_up_reverted
Is it possible for me to track the card is was mailed to me?,11,card_arrival
The app reverted after I topped-up,61,top_up_reverted
"I don't recognize this payment on my app, I am sure I didn't spend any money there.",16,card_payment_not_recognised
"I sent money to someone but they haven't gotten it, what's going on?",66,transfer_not_received_by_recipient
What is my identification used for?,74,why_verify_identity
card is being used by someone else,22,compromised_card
I was denied cash at an ATM,26,declined_cash_withdrawal
Why wouldn't the ATM give me cash?,26,declined_cash_withdrawal
"I'm interested in holding and exchange for flat currencies, what do you support?",36,fiat_currency_support
can i see money source?,70,verify_source_of_funds
"
I can't seem to be able to use my card


",14,card_not_working
Why was I charged a fee when I withdrew money?,19,cash_withdrawal_charge
What do I do if I can't get my card out of the ATM?,18,card_swallowed
"Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money.",28,direct_debit_payment_not_recognised
Where can I pay with my card?,10,card_acceptance
how can i transfer money from american express card,54,supported_cards_and_currencies
I have no idea why there is a dollar that has been charged to my account.,34,extra_charge_on_statement
"lost my phone, what is account security?",42,lost_or_stolen_phone
Will a cheque suffice?,58,top_up_by_cash_or_cheque
I'm still waiting for my transaction.,66,transfer_not_received_by_recipient
Do you have an age requirement when opening an account with your service?,1,age_limit
I was supposed to get a refund but I do not see it.,51,Refund_not_showing_up
